                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.55305,                0.36323,                0.87806,                0.90853,                0.91555,                0.91338,                0.78196,                0.57211,                 0.3655,                0.85571,             0.00082925,             0.00082925,             0.00082925
                     36,                  0.549,                0.36389,                0.88229,                0.95086,                0.91361,                0.95721,                0.81074,                 0.5808,                0.34927,                 0.8573,             0.00081688,             0.00081688,             0.00081688
                     37,                0.55376,                   0.36,                0.87178,                0.94897,                0.89697,                0.93788,                0.79721,                0.56688,                0.33561,                0.85639,              0.0008045,              0.0008045,              0.0008045
                     38,                0.53471,                0.35397,                0.87182,                0.95195,                0.89449,                0.93832,                0.80054,                0.57323,                0.34178,                0.85509,             0.00079213,             0.00079213,             0.00079213
                     39,                0.54778,                0.35565,                0.87818,                0.94537,                0.88184,                0.93092,                0.79612,                0.57212,                0.35798,                0.85789,             0.00077975,             0.00077975,             0.00077975
                     40,                0.52378,                0.34436,                0.86762,                0.94139,                0.87865,                0.93102,                0.81167,                0.55961,                0.34725,                0.85428,             0.00076738,             0.00076738,             0.00076738
                     41,                0.53748,                0.35176,                 0.8688,                0.92401,                0.89139,                0.90625,                0.78834,                0.56112,                0.37349,                 0.8502,               0.000755,               0.000755,               0.000755
                     42,                0.53926,                0.35024,                0.86621,                0.92812,                0.89985,                0.92448,                0.79152,                0.55941,                0.36178,                0.85218,             0.00074263,             0.00074263,             0.00074263
                     43,                0.53014,                0.34512,                0.87105,                0.93124,                0.87951,                0.92648,                0.78942,                0.57444,                0.34956,                 0.8582,             0.00073025,             0.00073025,             0.00073025
                     44,                0.51913,                 0.3339,                0.86006,                0.96765,                 0.8854,                 0.9292,                 0.8001,                0.55836,                0.34327,                 0.8551,             0.00071788,             0.00071788,             0.00071788
                     45,                0.52482,                0.34049,                 0.8637,                0.93403,                0.88785,                0.91502,                0.78986,                0.56218,                0.36131,                 0.8501,              0.0007055,              0.0007055,              0.0007055
                     46,                0.51382,                 0.3441,                0.86812,                0.93457,                0.87606,                0.90588,                0.78173,                0.55643,                0.36806,                0.85311,             0.00069313,             0.00069313,             0.00069313
                     47,                0.50835,                0.33632,                 0.8651,                0.95845,                0.83749,                0.88491,                0.76209,                0.58329,                0.36459,                0.87339,             0.00068075,             0.00068075,             0.00068075
                     48,                0.52057,                0.33569,                0.86619,                0.92797,                0.89982,                0.91733,                0.78866,                0.55744,                0.35793,                0.85583,             0.00066838,             0.00066838,             0.00066838
                     49,                0.51978,                0.33541,                0.86153,                 0.9369,                 0.8812,                0.92224,                0.79217,                0.55818,                0.35861,                0.85313,               0.000656,               0.000656,               0.000656
                     50,                0.49665,                0.32628,                0.85704,                 0.9387,                0.92134,                0.94668,                0.81357,                0.55917,                0.34087,                0.84905,             0.00064362,             0.00064362,             0.00064362
                     51,                0.50595,                0.32098,                0.86062,                0.96397,                0.89754,                0.93965,                0.82098,                0.54667,                0.33359,                0.84789,             0.00063125,             0.00063125,             0.00063125
                     52,                0.49631,                0.32026,                0.85478,                 0.9271,                0.90557,                0.92939,                0.80781,                0.54147,                0.34489,                0.84374,             0.00061887,             0.00061887,             0.00061887
                     53,                0.50606,                0.32564,                0.86205,                0.91475,                0.91696,                0.92924,                 0.7964,                0.54977,                 0.3508,                0.84908,              0.0006065,              0.0006065,              0.0006065
                     54,                0.51297,                0.32866,                0.86274,                0.92585,                0.88987,                0.91852,                0.78597,                0.56168,                0.34831,                0.85163,             0.00059413,             0.00059413,             0.00059413
                     55,                0.49152,                0.31351,                 0.8517,                 0.9558,                0.89335,                0.92653,                0.79494,                0.57974,                0.34356,                0.85717,             0.00058175,             0.00058175,             0.00058175
                     56,                0.50587,                0.31834,                0.85987,                0.93179,                0.90758,                0.92386,                0.79511,                0.56126,                0.33984,                0.85163,             0.00056938,             0.00056938,             0.00056938
                     57,                0.47709,                0.30615,                0.85305,                0.94827,                0.87279,                0.90579,                0.78455,                0.56386,                0.34406,                0.85702,               0.000557,               0.000557,               0.000557
                     58,                0.49156,                0.31171,                0.85599,                0.95634,                0.89753,                0.93262,                0.80294,                0.55995,                 0.3368,                0.85029,             0.00054463,             0.00054463,             0.00054463
